SELECTION SORT
Line[295]: 00:004 sec/mil
Line[296]: 00:004 sec/mil
Line[297]: 00:005 sec/mil
Line[298]: 00:004 sec/mil
Line[299]: 00:005 sec/mil
Line[300]: 00:004 sec/mil
Line[301]: 00:005 sec/mil
Line[302]: 00:004 sec/mil
Line[303]: 00:004 sec/mil
Line[304]: 00:005 sec/mil
Line[305]: 00:004 sec/mil
Line[306]: 00:004 sec/mil
Line[307]: 00:005 sec/mil
Line[308]: 00:004 sec/mil
Line[309]: 00:005 sec/mil
Line[310]: 00:005 sec/mil
Line[311]: 00:009 sec/mil
Line[312]: 00:008 sec/mil
Line[313]: 00:004 sec/mil
Line[314]: 00:004 sec/mil
Line[315]: 00:004 sec/mil
Line[316]: 00:005 sec/mil
Line[317]: 00:004 sec/mil
Line[318]: 00:004 sec/mil
Line[319]: 00:004 sec/mil
Line[320]: 00:004 sec/mil
Line[321]: 00:005 sec/mil
Line[322]: 00:004 sec/mil
Line[323]: 00:004 sec/mil
Line[324]: 00:005 sec/mil
Line[325]: 00:004 sec/mil
Line[326]: 00:004 sec/mil
Line[327]: 00:004 sec/mil
Line[328]: 00:004 sec/mil
Line[329]: 00:005 sec/mil
Line[330]: 00:004 sec/mil
Line[331]: 00:004 sec/mil
Line[332]: 00:004 sec/mil
Line[333]: 00:004 sec/mil
Line[334]: 00:004 sec/mil
Line[335]: 00:004 sec/mil
Line[336]: 00:004 sec/mil
Line[337]: 00:004 sec/mil
Line[338]: 00:005 sec/mil
Line[339]: 00:004 sec/mil
Line[340]: 00:004 sec/mil
Line[341]: 00:005 sec/mil
Line[342]: 00:004 sec/mil
Line[343]: 00:004 sec/mil
Line[344]: 00:005 sec/mil
Line[345]: 00:004 sec/mil
Line[346]: 00:004 sec/mil
Line[347]: 00:004 sec/mil
Line[348]: 00:004 sec/mil
Line[349]: 00:005 sec/mil
Line[350]: 00:004 sec/mil
Line[351]: 00:004 sec/mil
Line[352]: 00:005 sec/mil
Line[353]: 00:004 sec/mil
Line[354]: 00:004 sec/mil
Line[355]: 00:004 sec/mil
Line[356]: 00:004 sec/mil
Line[357]: 00:004 sec/mil
Line[358]: 00:004 sec/mil
Line[359]: 00:005 sec/mil
Line[360]: 00:004 sec/mil
Line[361]: 00:004 sec/mil
Line[362]: 00:005 sec/mil
Line[363]: 00:004 sec/mil
Line[364]: 00:004 sec/mil
Line[365]: 00:004 sec/mil
Line[366]: 00:004 sec/mil
Line[367]: 00:005 sec/mil
Line[368]: 00:004 sec/mil
Line[369]: 00:004 sec/mil
Line[370]: 00:005 sec/mil
Line[371]: 00:004 sec/mil
Line[372]: 00:004 sec/mil
Line[373]: 00:004 sec/mil
Line[374]: 00:004 sec/mil
Line[375]: 00:005 sec/mil
Line[376]: 00:004 sec/mil
Line[377]: 00:004 sec/mil
Line[378]: 00:004 sec/mil
Line[379]: 00:004 sec/mil
Line[380]: 00:005 sec/mil
Line[381]: 00:004 sec/mil
Line[382]: 00:005 sec/mil
Line[383]: 00:004 sec/mil
Line[384]: 00:005 sec/mil
Line[385]: 00:004 sec/mil
Line[386]: 00:005 sec/mil
Line[387]: 00:004 sec/mil
Line[388]: 00:005 sec/mil
Line[389]: 00:004 sec/mil
Line[390]: 00:004 sec/mil
Line[391]: 00:004 sec/mil
Line[392]: 00:004 sec/mil
Line[393]: 00:005 sec/mil
Line[394]: 00:004 sec/mil
Line[395]: 00:005 sec/mil
Line[396]: 00:004 sec/mil
Line[397]: 00:005 sec/mil
Line[398]: 00:004 sec/mil
Line[399]: 00:004 sec/mil
